id,name,full_path,parent_id
1,Accessories,Accessories,
2172,Adult Bibs,Accessories > Adult Bibs,1
12643,Aprons,Accessories > Aprons,1
2,Belts & Suspenders,Accessories > Belts & Suspenders,1
3,Belt Buckles,Accessories > Belts & Suspenders > Belt Buckles,2
4,Belts,Accessories > Belts & Suspenders > Belts,2
5,Suspenders,Accessories > Belts & Suspenders > Suspenders,2
10783,Bouquets & Corsages,Accessories > Bouquets & Corsages,1
603,Bouquets,Accessories > Bouquets & Corsages > Bouquets,10783
11276,Boutonnières,Accessories > Bouquets & Corsages > Boutonnières,10783
604,Corsages,Accessories > Bouquets & Corsages > Corsages,10783
2171,Collars,Accessories > Collars,1
6,Costume Accessories,Accessories > Costume Accessories,1
7,Capes,Accessories > Costume Accessories > Capes,6
1761,Costume Ears,Accessories > Costume Accessories > Costume Ears,6
12644,Costume Horns & Antlers,Accessories > Costume Accessories > Costume Horns & Antlers,6
1768,Costume Masks,Accessories > Costume Accessories > Costume Masks,6
1760,Costume Tails,Accessories > Costume Accessories > Costume Tails,6
10,Costume Weapons,Accessories > Costume Accessories > Costume Weapons,6
11,Facial Hair,Accessories > Costume Accessories > Facial Hair,6
12449,Halloween Candy Bags,Accessories > Costume Accessories > Halloween Candy Bags,6
2168,Prosthetics,Accessories > Costume Accessories > Prosthetics,6
14,Wands,Accessories > Costume Accessories > Wands,6
15,Wings,Accessories > Costume Accessories > Wings,6
12138,Face Masks & Accessories,Accessories > Face Masks & Accessories,1
12139,Ear Savers & Extenders,Accessories > Face Masks & Accessories > Ear Savers & Extenders,12138
12112,Face Masks & Coverings,Accessories > Face Masks & Accessories > Face Masks & Coverings,12138
12140,Mask Lanyards & Chains,Accessories > Face Masks & Accessories > Mask Lanyards & Chains,12138
16,Gloves & Sleeves,Accessories > Gloves & Sleeves,1
17,Arm Warmers,Accessories > Gloves & Sleeves > Arm Warmers,16
12645,Gloves,Accessories > Gloves & Sleeves > Gloves,16
1764,Mittens,Accessories > Gloves & Sleeves > Mittens,16
1765,Muffs,Accessories > Gloves & Sleeves > Muffs,16
12646,Sleeves,Accessories > Gloves & Sleeves > Sleeves,16
219,Hair Accessories,Accessories > Hair Accessories,1
220,Barrettes & Clips,Accessories > Hair Accessories > Barrettes & Clips,219
221,Bun Holders & Makers,Accessories > Hair Accessories > Bun Holders & Makers,219
222,Decorative Hair Combs,Accessories > Hair Accessories > Decorative Hair Combs,219
12214,Gajras,Accessories > Hair Accessories > Gajras,219
1758,Hair Jewelry,Accessories > Hair Accessories > Hair Jewelry,219
12179,Hair Beads & Cuffs,Accessories > Hair Accessories > Hair Jewelry > Hair Beads & Cuffs,1758
12168,Hair Chains & Headpieces,Accessories > Hair Accessories > Hair Jewelry > Hair Chains & Headpieces,1758
12178,Hair Rings & Charms,Accessories > Hair Accessories > Hair Jewelry > Hair Rings & Charms,1758
6114,Hair Picks,Accessories > Hair Accessories > Hair Picks,219
224,Hair Pins,Accessories > Hair Accessories > Hair Pins,219
226,Hair Ties & Elastics,Accessories > Hair Accessories > Hair Ties & Elastics,219
2113,Hair Wreaths,Accessories > Hair Accessories > Hair Wreaths,219
225,Headbands,Accessories > Hair Accessories > Headbands,219
12431,Parandas,Accessories > Hair Accessories > Parandas,219
2114,Tiaras,Accessories > Hair Accessories > Tiaras,219
11245,Hand Fans,Accessories > Hand Fans,1
12649,Hats & Head Coverings,Accessories > Hats & Head Coverings,1
12647,Balaclavas,Accessories > Hats & Head Coverings > Balaclavas,12649
30,Ear Warmers,Accessories > Hats & Head Coverings > Ear Warmers,12649
1727,Fascinators,Accessories > Hats & Head Coverings > Fascinators,12649
12650,Hair Nets & Covers,Accessories > Hats & Head Coverings > Hair Nets & Covers,12649
25,Hats & Caps,Accessories > Hats & Head Coverings > Hats & Caps,12649
2153,Helmets,Accessories > Hats & Head Coverings > Helmets,12649
1962,Hijabs,Accessories > Hats & Head Coverings > Hijabs,12649
12648,Hoods,Accessories > Hats & Head Coverings > Hoods,12649
12182,Turbans,Accessories > Hats & Head Coverings > Turbans,12649
35,Veils,Accessories > Hats & Head Coverings > Veils,12649
164,Keychains & Lanyards,Accessories > Keychains & Lanyards,1
12654,Badge Holders,Accessories > Keychains & Lanyards > Badge Holders,164
12652,Badge Reels,Accessories > Keychains & Lanyards > Badge Reels,164
165,Keychains,Accessories > Keychains & Lanyards > Keychains,164
166,Lanyards,Accessories > Keychains & Lanyards > Lanyards,164
167,Zipper Charms,Accessories > Keychains & Lanyards > Zipper Charms,164
12235,Latkans,Accessories > Latkans,1
40,Patches & Appliques,Accessories > Patches & Appliques,1
39,Pins & Clips,Accessories > Pins & Clips,1
